order_id,customer_id,session_id,payment_id,order_ts,total_amount,currency,shipping_method,status
O0000001,C02452,S000009,PAY0000002,2025-11-17 06:38:34,47.83,EUR,express,paid
O0000002,C00304,S000010,PAY0000003,2025-12-14 04:07:59,75.86,EUR,standard,paid
O0000003,C00304,S000010,PAY0000004,2025-11-19 16:46:08,179.33,EUR,express,paid
O0000004,C01976,S000012,PAY0000005,2025-12-28 11:15:45,95.06,EUR,pickup_point,paid
O0000005,C01976,S000012,PAY0000006,2025-12-10 02:53:22,47.41,EUR,pickup_point,paid
O0000006,C02482,S000016,PAY0000007,2025-12-31 15:41:44,56.92,EUR,standard,paid
O0000007,C00996,S000019,PAY0000008,2025-11-19 13:33:48,53.8,EUR,express,paid
O0000008,C01359,S000020,PAY0000009,2025-12-25 04:42:07,41.92,EUR,express,paid
O0000009,C01199,S000023,PAY0000010,2025-11-10 17:44:01,87.35,EUR,standard,paid
O0000010,C02252,S000032,PAY0000012,2025-11-28 14:44:31,76.94,EUR,express,paid
O0000011,C02252,S000032,PAY0000013,2025-12-22 15:34:58,20.56,EUR,pickup_point,paid
O0000012,C02252,S000032,PAY0000014,2025-11-29 08:32:22,90.97,EUR,standard,paid
O0000013,C01648,S000036,PAY0000015,2025-11-24 05:30:36,51.09,EUR,express,paid
O0000014,C01648,S000036,PAY0000016,2025-11-16 22:29:50,42.42,EUR,pickup_point,paid
O0000015,C01791,S000043,PAY0000017,2025-11-28 05:59:01,36.53,EUR,standard,paid
O0000016,C01791,S000043,PAY0000018,2025-11-18 21:52:18,44.08,EUR,pickup_point,paid
O0000017,C01791,S000043,PAY0000019,2025-11-12 22:59:01,55.01,EUR,pickup_point,paid
O0000018,C00223,S000045,PAY0000020,2025-12-06 10:25:48,99.48,EUR,express,paid
O0000019,C00672,S000048,PAY0000021,2025-12-16 07:37:20,54.62,EUR,pickup_point,paid
O0000020,C02155,S000052,PAY0000022,2025-11-04 14:22:51,103.78,EUR,express,paid
O0000021,C02155,S000052,PAY0000023,2025-11-30 04:57:27,76.06,EUR,pickup_point,paid
O0000022,C01950,S000055,PAY0000025,2025-11-17 16:41:52,53.23,EUR,express,paid
O0000023,C01894,S000065,PAY0000028,2025-12-31 12:12:02,88.56,EUR,express,paid
O0000024,C01894,S000065,PAY0000029,2025-11-07 16:26:33,61.77,EUR,standard,paid
O0000025,C00945,S000076,PAY0000031,2025-12-23 03:34:32,27.81,EUR,express,paid
O0000026,C00945,S000076,PAY0000032,2025-12-15 13:20:05,59.87,EUR,pickup_point,paid
O0000027,C00926,S000077,PAY0000033,2025-12-09 11:32:36,44.03,EUR,standard,paid
O0000028,C02051,S000078,PAY0000034,2025-11-03 03:11:44,52.26,EUR,standard,paid
O0000029,C01788,S000081,PAY0000035,2025-12-06 12:54:45,68.26,EUR,pickup_point,paid
O0000030,C02247,S000082,PAY0000037,2025-12-28 09:01:35,42.66,EUR,pickup_point,paid
O0000031,C00052,S000086,PAY0000039,2025-11-30 19:45:53,37.74,EUR,standard,paid
O0000032,C00229,S000108,PAY0000040,2025-12-14 23:28:06,65.34,EUR,standard,paid
O0000033,C00150,S000109,PAY0000041,2025-11-03 17:39:11,35.49,EUR,express,paid
O0000034,C01625,S000111,PAY0000042,2025-12-27 18:49:28,84.51,EUR,standard,paid
O0000035,C01085,S000116,PAY0000044,2025-11-02 21:46:07,116.25,EUR,pickup_point,paid
O0000036,C00819,S000117,PAY0000045,2025-12-14 06:09:57,116.79,EUR,standard,paid
O0000037,C01613,S000120,PAY0000047,2025-12-03 04:06:27,30.18,EUR,pickup_point,paid
O0000038,C01534,S000138,PAY0000048,2025-12-18 22:29:22,66.75,EUR,pickup_point,paid
O0000039,C02371,S000142,PAY0000049,2025-11-19 04:49:25,81.95,EUR,express,paid
O0000040,C00848,S000143,PAY0000050,2025-12-29 14:49:43,70.42,EUR,express,paid
O0000041,C00177,S000148,PAY0000051,2025-11-06 12:10:21,140.93,EUR,express,paid
O0000042,C02130,S000157,PAY0000052,2025-12-29 06:58:41,119.58,EUR,pickup_point,paid
O0000043,C02130,S000157,PAY0000053,2025-12-09 18:17:39,67.48,EUR,pickup_point,paid
O0000044,C01149,S000163,PAY0000054,2025-12-05 10:29:37,93.28,EUR,pickup_point,paid
O0000045,C02181,S000166,PAY0000055,2025-11-01 18:14:34,34.47,EUR,express,paid
O0000046,C00002,S000178,PAY0000056,2025-12-03 08:06:09,72.61,EUR,standard,paid
O0000047,C00864,S000181,PAY0000057,2025-12-15 01:20:59,37.76,EUR,standard,paid
O0000048,C01877,S000182,PAY0000058,2025-12-25 08:35:09,61.52,EUR,express,paid
O0000049,C01877,S000182,PAY0000059,2025-12-23 19:47:24,49.13,EUR,express,paid
O0000050,C01838,S000191,PAY0000062,2025-11-05 11:51:03,55.7,EUR,pickup_point,paid
O0000051,C01838,S000191,PAY0000063,2025-12-09 23:00:36,51.56,EUR,pickup_point,paid
O0000052,C01285,S000198,PAY0000064,2025-12-05 22:51:58,88.68,EUR,pickup_point,paid
O0000053,C00656,S000203,PAY0000065,2025-12-12 21:24:18,59.21,EUR,standard,paid
O0000054,C01347,S000220,PAY0000066,2025-11-27 05:34:08,65.33,EUR,standard,paid
