payment_id,customer_id,session_id,attempt_ts,method,card_bin,payment_country,ip_hash,device_id,amount,result,is_fraud_label
PAY0000001,C00695,S000001,2025-11-11 09:51:23,paypal,492878,IT,7f19717dd0b54b37,dev_38b70bd879a5,58.58,failed,1
PAY0000002,C02452,S000009,2025-11-17 06:38:34,card,424315,DE,bb2fa2fa971f4e13,dev_f90061b1ad30,47.83,success,0
PAY0000003,C00304,S000010,2025-12-14 04:07:59,google_pay,412297,FR,924e2878a836414c,dev_4cd9dc126c0e,75.86,success,0
PAY0000004,C00304,S000010,2025-11-19 16:46:08,apple_pay,475361,DE,924e2878a836414c,dev_c487204b8dd6,179.33,success,0
PAY0000005,C01976,S000012,2025-12-28 11:15:45,apple_pay,464101,DE,ee4fd5784a1742d7,dev_fd5377299378,95.06,success,0
PAY0000006,C01976,S000012,2025-12-10 02:53:22,paypal,486014,IT,ee4fd5784a1742d7,dev_8b59776fc298,47.41,success,0
PAY0000007,C02482,S000016,2025-12-31 15:41:44,card,442480,NL,ee13be9bef634317,dev_db7db99d3c1d,56.92,success,0
PAY0000008,C00996,S000019,2025-11-19 13:33:48,paypal,452633,GB,1ae897f4ad7648b3,dev_03d9567d1dc3,53.8,success,0
PAY0000009,C01359,S000020,2025-12-25 04:42:07,apple_pay,415183,NL,f9ecd598310e4af8,dev_0710803eae3d,41.92,success,0
PAY0000010,C01199,S000023,2025-11-10 17:44:01,apple_pay,414879,PT,c0a6c17e882f47e5,dev_858693c4dd31,87.35,success,0
PAY0000011,C01349,S000029,2025-11-09 02:50:47,paypal,498399,GB,692c6953b2554485,dev_b0206d5945a5,57.59,failed,0
PAY0000012,C02252,S000032,2025-11-28 14:44:31,apple_pay,412076,FR,6c73bd5aea0843d1,dev_37af8a28a04d,76.94,success,0
PAY0000013,C02252,S000032,2025-12-22 15:34:58,google_pay,403510,GB,6c73bd5aea0843d1,dev_b06a91970be0,20.56,success,0
PAY0000014,C02252,S000032,2025-11-29 08:32:22,google_pay,458875,IT,6c73bd5aea0843d1,dev_2ad36054a1f1,90.97,success,0
PAY0000015,C01648,S000036,2025-11-24 05:30:36,paypal,454027,PT,3675637623d14be8,dev_1b47145a9daa,51.09,success,0
