session_id,customer_id,start_ts,end_ts,device,ip_hash,utm_source,utm_campaign
S000001,C00695,2025-11-19 14:23:04,2025-11-19 14:39:04,web_desktop,7f19717dd0b54b37,direct,none
S000002,C00929,2025-11-25 12:27:26,2025-11-25 12:39:26,web_mobile,7916c17d60724b7e,ads_meta,none
S000003,C00116,2025-12-21 20:57:52,2025-12-21 21:08:52,android,a0c6c72592524a2b,ads_google,black_friday
S000004,C01032,2025-11-11 01:15:51,2025-11-11 01:36:51,ios,262ffa5079434a66,email,none
S000005,C01242,2025-11-11 00:58:48,2025-11-11 01:14:48,web_desktop,49a3dbcc376840aa,ads_meta,none
S000006,C01743,2025-11-08 15:16:24,2025-11-08 15:35:24,ios,649a66ca9aca4717,ads_meta,none
S000007,C01614,2025-12-20 00:21:59,2025-12-20 00:36:59,android,2816f38ffab44558,affiliate,xmas_push
S000008,C01904,2025-12-31 23:49:03,2025-12-31 23:56:03,web_mobile,748185681d764cb5,affiliate,xmas_push
S000009,C02452,2025-12-02 12:49:01,2025-12-02 13:04:01,web_desktop,bb2fa2fa971f4e13,direct,fall_sale
S000010,C00304,2025-12-13 09:54:14,2025-12-13 10:11:14,web_mobile,924e2878a836414c,ads_google,xmas_push
S000011,C01491,2025-11-17 04:56:06,2025-11-17 04:59:06,web_mobile,66c4fd0bbed2469c,ads_meta,retargeting
S000012,C01976,2025-12-26 22:00:05,2025-12-26 22:20:05,ios,ee4fd5784a1742d7,ads_google,fall_sale
S000013,C00088,2025-11-06 13:39:16,2025-11-06 13:45:16,android,0fc93ba2307b4c0b,seo,none
S000014,C01034,2025-12-20 21:42:40,2025-12-20 21:54:40,ios,8f401847e6b54616,direct,retargeting
S000015,C00308,2025-11-02 22:10:47,2025-11-02 22:22:47,web_desktop,0deeb5ff5da14e44,affiliate,fall_sale
S000016,C02482,2025-12-18 15:51:21,2025-12-18 16:13:21,android,ee13be9bef634317,direct,fall_sale
S000017,C00802,2025-11-07 19:22:40,2025-11-07 19:42:40,web_desktop,4e857965a00b4db2,direct,retargeting
S000018,C00164,2025-11-12 10:07:11,2025-11-12 10:26:11,web_mobile,f1f3b104c9d54dac,ads_google,fall_sale
S000019,C00996,2025-12-21 16:03:41,2025-12-21 16:12:41,ios,1ae897f4ad7648b3,affiliate,retargeting
S000020,C01359,2025-11-13 17:42:54,2025-11-13 18:06:54,web_mobile,f9ecd598310e4af8,affiliate,fall_sale
S000021,C02066,2025-12-16 07:09:59,2025-12-16 07:22:59,web_mobile,09d74a1cb344457a,ads_meta,fall_sale
S000022,C01095,2025-11-27 09:31:27,2025-11-27 09:41:27,web_desktop,1d2c9ad7a0b846a2,ads_meta,fall_sale
S000023,C01199,2025-11-01 16:38:15,2025-11-01 16:42:15,android,c0a6c17e882f47e5,ads_google,retargeting
S000024,C01878,2025-12-31 00:49:33,2025-12-31 00:56:33,android,d216cc3249c84cc5,ads_google,fall_sale
S000025,C01824,2025-12-07 18:57:02,2025-12-07 19:19:02,android,78bab5ed5d954222,seo,xmas_push
S000026,C00811,2025-11-18 04:19:32,2025-11-18 04:41:32,web_desktop,0d034489afbe4342,email,xmas_push
S000027,C02387,2025-12-13 21:28:23,2025-12-13 21:53:23,ios,b4b634100a7848d8,email,xmas_push
S000028,C02296,2025-11-22 08:08:01,2025-11-22 08:10:01,web_desktop,4d98440bb80a4cf4,direct,xmas_push
S000029,C01349,2025-12-21 12:06:15,2025-12-21 12:24:15,web_desktop,692c6953b2554485,ads_meta,xmas_push
S000030,C02354,2025-11-30 15:11:22,2025-11-30 15:15:22,web_mobile,be4eef59c1b74496,affiliate,none
S000031,C01804,2025-12-27 17:39:11,2025-12-27 17:58:11,ios,85ef9a9acf214c94,direct,fall_sale
S000032,C02252,2025-11-28 19:31:16,2025-11-28 19:50:16,ios,6c73bd5aea0843d1,affiliate,black_friday
S000033,C01594,2025-12-13 11:50:36,2025-12-13 11:53:36,web_mobile,1c486ac1c3bc4b1c,ads_meta,none
S000034,C02495,2025-12-03 09:45:52,2025-12-03 09:50:52,ios,ba64180f2d3b4c0c,ads_meta,retargeting
S000035,C00433,2025-11-13 15:34:46,2025-11-13 15:36:46,web_mobile,6ced3c5870e44426,seo,none
